"","x"
"194","My screen on time have been significantly shorten after the april security patch! My battery drain so quickly!:("
"195","I keep getting pop up ads after I dial a number on my s10+"
"196","This is getting ridiculous. I've never liked Bixby."
"197","Good evening,"
"198","The latest device update was supposed to improve camera performance of the device but actually it totally destroyed the camera performance of this device. Please fix this issue as soon as possible. After the update camera now clicks extremely blurry and noisy images....."
"199","Hello,"
"200","Hello all I did a quick search and nothing came up. Trying to decide between these 2 tablets. I know there is a lot online about these 2 tablets but thought it best to bring this to the home of the gadgets."
"201","Make gaming laptops with purely minimalist design (as Macbook Pro) and classic colors."
"202","I have just purchased an A70 and am concerned that it is not genuine. It looks real and the build quality seems good but I have a couple of things which are preventing me from being completely satisfied."
"203","I've just upgraded from s6 to s10. I've gone into settings and in language and input I've selected English and French. However when I use any apps or text I cannot switch between languages on the keyboard (in the past I could swipe on the space bar to switch language and keyboard layout"
"204","Hello guys am considering one of these 2 tablets however worried because the 64gb storage will not be enough as I use a lot of apps. Is it possible to transfer apps to sd card with any of these 2 tablets please?"
"205","Hi Folks,"
"206","I have an S8, an S9+ and an S10+. All unbranded."
"207","Hi since yesterday YouTube stop working I tried reset the hub and unplugged the tv still no luck any suggestions"
"208","I'm having problems in my A70 with multi-touch."
"209","I’ve been struggling for days with lip sync issues on Dolby Digital via optical."
"210","Hi everyone"
"211","Please could someone help? My Samsung Galaxy A3 keeps losing/dropping my home wifi. Apart from re-starting the phone and router (which is about 1 foot away from me!) could anyone give me some simple step-by-step instructions (if any) to perform on my phone please. Many thanks! xx"
"212","I've had the Galaxy Watch for a couple of weeks and been somewhat frustrated at it's inability to accurately record my sleep. But today it pulled off a neat trick. Across 5 hours of walking down to the shops, pottering around the house and general busy activity, it faithfully recorded all my steps. But it also recorded that I was asleep during 3 hours of that time! Is this a new feature?"
"213","Hi,"
"214","Hi"
"215",NA
"216","I am finding that when my phone is in my pocket the lock screen is changing to landscape from portrait while the screen is locked can any one help"
"217","Had the phone since launch, but last week just as i was going away, went to plug the phone into the car to use Android Auto and couldnt get a connection, my Leads plug wont go far enough into the phone to connect."
"218",NA
"219","Since the new Bixby upgrade, I find that when I ask Bixby to call a contact in my phone, it hears what I say and it shows up on screen but I then get a message to say that the contact doesn't have a phone number. I hate to say it but when I use OK Google for exactly the same task, voila. I am really trying hard to use Bixby but the new update is vexing to say the least. Does anyone else find the new update is worse than the old one? Hopefully Samsung will do some more testing on English accents."
"220","My YouTube app has stopped working properly. Videos don't load and get stuck on the loading screen. I have tried to reset smart hub and the full television but it didn't work. How can it be fixed as the main reason for buying a smart TV was to connect to YouTube seamlessly. Really disappointed."
"221","Air view and pointer are on on in settings, however they dont work anylonger on my tab s4. Anyone else with this problem? How can i fix this?"
"222","I've been trying to get my watch to track my bench press routines and shoulder press routines, but it just sits on the screen telling me to get into position. Any help to solve this issue is greatly appreciated. I've tried doing a few sets, but it never starts tracking."
"223","My camera has started showing what looks like a white bony finger shape when taking photos and videos. It's clear if taking selfie. This has just happened. Any idea"
"224","If i download music fron u tube, do i have to use my 4g to listen to it when im not at home? Is that even possible? I like walking and am wondering can i just use my data to listen to my music from you tube."
"225","Have recently purchased the Tab5se, really impressed."
"226","Hi Everyone,"
"227","When trying to enroll a fingerprint, it keeps reporting ""wipe sensor"". Eventually it gets enrolled but I had to touch about 40x. When authing, same thing. At best I need 3 tries to get authed but often more."
"228","Hello. I noticed today that the Youtube app stopped working properly. The model is UA43K5300. It starts, shows the videos thumbnails, but when I click any video, the Loading text pops up and the screen goes black. By moving the arrow keys, I noticed, the video didn't load at all as the user interface of the video is still intact with the total time of the video stuck at 0:00. All the other buttons work fine. Sometimes, if I click on the next video in that screen, the video plays. I checked if there is a system update on the TV or not and it said no update. Please, kindly solve the issue."
"229","I recently bought the i10 tws and using them with other devices (PC, tablet) I never had any bluetooth communication problems except on my Samsung Galaxy A50, when I listen to music at home by connecting to the WI-FI the signal is transmitted fine and uninterrupted, things change when I use mobile data, the signal continues to skip tenuousness even when attached to the ear. I tried everything, I searched on the internet and I found nothing, I changed the SIM from slot 1 to 2 and even there nothing I reset WI-FI, mobile data and bluetooth settings and nothing changes I emptied the cache I tried to interrupt so many services that I thought could bother the connection and nothing I'm desperate I don't know what to do. Please help me"
"230","hi there"
"231","Hi,"
"232","Opened my albums up today to find all the unfiled photos in Camera folder of Gallery have been deleted. How can I retrieve them?"
"233","My Galaxy A7 (2018) that I bought in January did not receive a single update to this day."
"234","Happens after the last update (May update). Look on the status bar when the phone unlocks. A black bar appears for an instant and then disappears. Only happens with screen off. If I unlock the phone with the screen on, do not happens."
"235","Hi."
"236","Hello,"
"237",""
"238","Hello All"
"239","Hi,"
"240","Hello,"
"241","Okay, so I am asking them about updating my Galaxy Watch to the new One UI update, and they seem to try to educate me that the watch doesn't run on android One UI, and that it runs on Tizen 4. They have no idea what is going on with your software, and they should be the support. Just give the the email of the developers so I can at least talk to someone that knows what is doing, not just saying stuff to make me stop asking. Here is a screen shot it is in Bulgarian, just translate it. Unacceptable. The works thing is that reporting a software issue made them request my device to be sent to a service center?!?! Wow!"
"242","After the latest firmware update of the KS8000 to 1233 youtube only starts once correctly with all the clip-suggestions etc. When I shut down the tv via remote and restart youtube opens, however the clips aren't there. It's all black and I cannot open any."
"243","Why are the apps I once used now saying that they don't exist anymore and if I want to delete the apps?"
"244","I've had my Tab A since Christmas 2017, and never had much of a problem with it. It's only done this once before, but shutting it down for a while and turning it on again solved it. This time it hasn't. Every single app closes (or tries to, in the case of Autodesk Sketchbook, because it asks if I want to exit first) ten seconds or less after I open it. I can't even Google anything longer than 3 words because my keyboard closes automatically, and Chrome has even gone back multiple pages, and then closed when it gets back to the new tab page. Sliding down to see all my apps does it too. I've literally watched it slide up on it's own not even two seconds after sliding down. According to my settings, everything is up to date, so idk what the heck is going on."
"245","I was listening to music and in the middle of a song the earphones quit working, the song was still playing just no sound coming out. I have tried 4 different sets of earphones none of them work. Phone calls, videos or games still no sound through earphones. I have restarted my phone 4 times nothing has changed. Any ideas on how to fix this issue??"
"246",NA
"247",NA
"248","I don't know what I have done but it has deleted 3 quarter of my contacts. I was doing some sort of sync."
"249","I've had my Gear S3 Frontier since Christmas but the back button has stopped working in the Las couple of days and is completely unresponsive. Is anyone aware of a simple way to fix this? Tried rebooting but it still doesn't work."
"250",NA
"251","After Android Pie update (I believe), on every call via handset or speaker phone, the same sound is played for ANY notification (email, text, ring, KiK, etc.)."
"252","Hi all , in the settings I have the screen unlock sound off but I've been getting a random beep when I unlock the screen , anyone else have this irritating issue"
"253",NA
"254",NA
"255","Solved! Go to Solution."
"256","Hello."
"257","Does anyone know where user feedback can be sent to the devs of the actual Good Lock modules, as this seems to be more of a community chat area rather than a development forum?I'd like to request the very obvious (albeit legacy) 'Menu' button as an option currently missing in NavStar - alongside some of the largely useless extra ones that they do provide. I've always had (or created) a physical menu button at the bottom of my phones, located where I can get at it quickly and easily with one hand, and I still have no intention of bowing to Google's trendy Material Design nonsense about Menus really being 'Overflow Lists' floating somewhere around the screen if you can find them.Also, I'd like to see a new module to adjust physical button actions - particularly to use three-button cabled headsets for changing tracks/albums with MEDIA_NEXT and MEDIA_PREVIOUS events (as per many other non-Samsung devices) instead of altering the volume for which I already have perfectly usable buttons on the phone itself. It used to be really easy on my previous Samsung devices to simply edit the Generic.kl keyboard layout file (needs root) but it would be lovely to have a simple (and Pie-friendly) way to do it on my new Galaxy A70.If those two options were available, I finally think I can live with a mobile device without rooting it, which would be a first for me."
"258","OK, so I've decided to sell my S3 Frontier, unless there's a way to solve the insistence on connecting via Bluetooth.Since the latest update to Tizen 3.0 it looks like Samsung have made it more difficult to use without it being connected 24/7 to an Android device via Bluetooth, which begs the question. Why don't they drop Tizen and use Android Wear instead.Prior to the update I could wear the watch and leave the Android phone at home after solving the issue of the nagging Bluetooth connectivity issue. I don't use the Android for anything but managing the Frontier anyway. There's just no way the watch will perform other than like a dumb watch if it isn't connected to Android via Bluetooth. I still want to monitor things like steps etc and connect via Wi-Fi.As soon as the watch is disconnected from the phone via the Galaxy Wearable app within 10 minutes it's nagging to be connected via Bluetotth evey 10 minutes again. This is no good to me at work where we are required to leave our phones switched off in lockers, and it gets a PITA carrying 2 phones around all the time as well.Samsung need to sort this out and give us the option to use the watch without the need for a 24/7 Bluetooth connection."
"259","My Samsung screen changes into very light yellowish colour after start up"
"260","Hello!"
"261","Hi ,like in title, after udate when conecting laptop wirelessly(screen mirroring) to tv, game mode is disabled. Before in version 1153.3 it worked. Is it any solution to fix this or uninstall upgrade? Is it any option to do it in service menu?"
"262","I tried pairing two Samsung Smart Remotes to my new Samsung Q80 TV but within 10-20 seconds I get a message that the TV is already paired with a remote and then unpairs from my first remote; this despite both remotes working just fine during that brief period. Why would Samsung not allow this? Is my only option third party remotes? Is there some way to do this with the Samsung Smart Remotes?"
"263","Despite this subject is still in development. There are some websites listing the Samsung Phones that will be compatible with Android 10 Q, which will probably arrive at autumn 2019. The Galaxy Note 8, is still one powerfull phone, surely capable of running Android 10 without a problem, but it's still not yet on the lists."
"264","I can't turn on ""do not disturb"" and set a custom exception for a specific app. Now when my phone is on DND my house alarm activations app won't alert me if the alarm is screaming."
"265","Hi,"
"266","I recently swithced from a Iphone 8 to a Samsung S10, my husband also has the Iphone 8 and he is able to recieve my messages but I dont recieve his. Ive tried re inserting the sim and shutting off the facetime and imessage on old phone and re starting both phones but it didnt seem to work. As far as I know his phone is the only one that he has to ""oush"" message as a SMS in order for me to get it. Any Ideas>?"
"267",NA
"268",NA
"269","Version 2, more cleaning will come in time to make this watch-face a brilliant information dashboard on your wrist .https://www.facer.io/watchface/RgkKRhJcGZ"
"270","My issue is the sound on my earplugs. I am able to customise the sound on wired earphones/plugs, in the phones sound settings. Which is extremely useful to me because I am hard of hearing in one ear and 98% deaf in the other. Though sound filtered through the practically deaf ear is customised and optimised for me. Its amazing."
"271",NA
"272","I'm new to the above device, and I want to use it principally to display position on maritime charts - a Third Party package will be installed, probably onto micro-SIM card. Wifi positioning is displayed OK via Google Maps. There is no info I could find in the Samsung-recommended User Manual, save a reference in a layout diagram to 'GPS antenna'."
"273",NA
"274",NA
"275","Once I choose the app to download, it tells me to sign in to my Samsung account, as soon as this is done the app. Please help"
"276","With 5G being announced today by EE and Vodafone, is anyone else considering getting the S10 5G? My main reasons for wanting to are because I'm underwhelmed by the S10+ battery and also want the 25w fast charging offered by the S10 5G."
"277",NA
"278","When I'm on a phone call and my phone receives another call the only way to to answer it after hitting the green button is to select from the menu that appears whether to end or hold the existing call..."
"279","This morning i install the latest software update on my Galaxy A6, it completly wiped all my contacts. When I try to re-enter them, I get a message saying ""unable to save contact"". I have tried resetting all permissions but still have the same problem"
"280","I just purchased an unlocked Galaxy S10e phone and just noticed on the box that it reads European SIM Card Only."
"281","What is the simplest procedure for installing the Tizen OS on my Samsung Smart TV Series 7 UE40NU7120?"
"282","Hello"
"283","Samsung should make a dryer that tumble two directions it should tumble left for a minute or two then right for a minute or two to keep laundry from bunching up like for instance a large comforter it balls up and then you need to unbundle it so it drys but it’s so tight rolled it drops like a stone in the dryer this multi direction would keep it from balling up just a suggestion thanks"
"284","I have two 7100 models and both have the new Apple TV app. However my higher model 7120 cannot find the Apple TV app. The firmware is 1252, right up to date. Will it be made available for the 7120?"
"285","Having issues with pairing with my Beoplay E8, followed all the steps from Bang and Olufsen"
"286","Hi all,"
"287","brought this samsung s10 plus after trying out the p20 pro last year and i get 1 to 2 bars its been to a repair center they said its fixed which is a load of *****"
"288","I've noticed through all sources; aerial, hdmi or just the in built apps, the picture will ""blink"" for half a second after transitioning from dark to light. It doesn't do it all the time, but it's a daily problem. I've tried unplugging everything, but it still does it. Samsung claim they've never encountered anything like it. Below are some video clips of what it looks like. I've had to slow it down so the camera could pick it up."
"289","My watch battery started draining rapidly after May update. This is really started to be annoying. Each update they fix something and break other stuff. This is started to be a bull*****. The last update they fixed the battery drain and broke the encoding for some languages. This update they screwed the battery again. I don't know what kind of engineering is this?"
"290","On pc the IconX have two different output options and one seems to be much lower quality audio for some reason, of the two one of them (Headset) is the only ne that displays all audio when in any sort of call that i'm aware of the headphones setting mute other audio and just plays the call, I don't know why this is happening or how i could fix it, if anybody has some tips on how to solve this I'd be really grateful"
"291","Hi there,"
"292","Why wont Samsung pay accept my card? I'm with Barclays one of the biggest banks in the uk. A major issue for me as I bought the phone on that premise. Luckily for me I'm still in my cooling off period if I cant get it sorted."
"293","Hi I've tried resetting the watch and still no joy!!"
"294","As the description says I’m looking for a video file converter because my Samsung TV doesn’t want to play all video files connected trough a HDD or a USB."
"295","Hi when I turn on UHD Color for the HDMI on my Xbox one x or PS4 pro I get occasional screen tearing and the screen flickering black. The model number for my Tv is UE55MU6120. Any help with this issue will be greatly appreciated"
"296","I recently took my tablet in for repair as it had a faulty battery. Samsung ended up completely breaking it. I was told it was unrepairable and I would be offered a replacement or a refund. As the tablet was 5 or 6 years old I did not have the original paperwork so could not confirm how much I paid for it or where it was bought. After 10 days Samsung finally offered me £80. I consider this insulting. I was further told that I would not be offered any compensation for the inconvenience caused by Samsung. Has anyone out there had any similar experience, or can anyone offer advice as to how I should proceed as I have no intention of letting Samsung get away with this. Thanks."
"297",""
"298","Does anyone know how to page up/down using tab s4 keybord."
"299","Hi guys,"
"300",NA
"301","Recently bought a refurbished Samsung J6 (SM-J600FN). Seems fine with the exception of one very big issue: my speaker will randomly cut out and stop playing audio for a random length of time. Often I won't even be able to play a minute of a youtube video before the speaker fails."
"302",NA
"303","My Gear S3 Classic Alarm stopped working for me after the May 20th update. The alam widgets are not working, the message on the watch says loading but never does, it says , ""Loading failed tapto reload"", it never does. If you try to add an alarm through the watch app menu's it just freezes or crashed. Please push a update to fix this is an important part of the watch"
"304",""
"305","Hi All,"
"306","I have a S10e that came with a Fit2 Pro. I've had Gear Iconx earbuds that I used with my old S6 Active with no issues. Whenever I start a Mapmyrun session when my Gear Iconx earbuds are already connected Mapmyrun records position but will not recognize the heart rate data even though it is visible on the watch display in all other modes including the watch face. The fix seems to be to remove the earbuds and put them in the case so they disconnect, start a Mapmyrun session, confirm heart rate is showing in the Mapmyrun app, take the earbuds out of the case, and put them in my ears. If I go in that order audio and heart rate both work. It is as if the audio is sucking up all the Bluetooth bandwidth unless I start Mapmyrun first. Any ideas?"
"307","Pretty simple, last night I was wearing my watch like normal recording my shocking sleep patern and then this morning the watch has taken on a life of its own, opeing apps I'm not selecting, switching watch faces, going into settings etc to the ppint I've struggled to do anything with it. Tried the obvious ones switched it on and off and I've reset it and then relinked it to my Phone twice with no change Its like its taken on a life of its own"
"308","I love the speech to text keyboard however my only gripe with it is that I can't seem to start sentences with a capital letter. Is there a way to correct this or is it a software error? My job would be so much more efficient if I could get it to use capital letters at the start of each sentence."
"309",""
"310",NA
"311","Just want to be sure,is it up to me or my samsung TV.."
"312","Our 40” Samsung turns itself off after I think two hours of viewing and I cannot see a setting to stop this. There is no eco setting on or anything similar so not sure why it’s doing it."
"313","Hi."
"314","I have just gotten a new update on my samsung tv 2018 version, there is additional menu ""Airplay settings"", however although its ""on"", my mac doest detect the airplay display. Both mac and tv are on the same WIFI as I can use chromecast."
"315","Hi Guys, first time poster here and i really would appreciate some expert advice."
"316","Hi,"
"317","I have just done this update but it's so bad. I can't go back to my old really good phone settings because apparently you can't so I'm stuck with this crappy useless update."
"318","I have bought a new Samsung Galaxy J6 a few months ago. Whenever I place a call the screen turns off but screen do not turn on automatically when I remove the phone from my face after receiving call and I need to press the power button or finger sensor to turn it on. I thought it is a hardware issue but when I go to settings of *#0*# and select sensors the proximity sensor show the value 978 adc when I place a finger on the proximity sensor and when I remove the finger it shows random number."
"319","I live in a rural area. Can anyone tell me if any of this vacuum will pick up large flies and stink bugs? Dust and hair are just part of the accumulation in the country. The bugs that get in an old house, are much bigger than dust and hair. any experience on this?"
"320","Can someone tell me when this issue is going to be sorted out? Yet again, only a couple of days after going through the process of clearing various caches and storage and getting my watch counting steps and floors it decides to stop working......argh!!! This is a keep or return issue"
"321","Hi."
"322","Hi I'm new here and hope you will be able to help me. I have a Samsung galaxy gear Sport. The watch has maybe 4 months I bought it in the end of January."
"323","Greetings,"
"324","Hi guys I was just wondering is there any1 else with an s8 who hasn't received the Android pie update? Every1 else I know has received it that owns an s8."
"325","Found a problem when using face recognation while wearing sunglasses ."
"326","New s2 tablet. If I set time to auto, status bar time is 1 hour earlier while weather/time widget on home page is correct. If I turn off auto and set time manually, then weather/time widget is 1 hour earlier. Please help?"
"327","So, I went to turn on the Dolby Atmos setting on my Samsung Galaxy S8 and it was greyed out and I can't select it, any solutions?"
"328","Hello i have a samsung ue50nu7472 50"""
"329","I have just bought an galaxy s5e tablet on the basis that I could use the call & message continuity feature with my Note 9. I can't find any way to make this work or find the app in the store. Is there an app I can download or do I need to wait for an update? If so when will this update be available or will there be an update at all?"
"330","Seeing how Android Pie has been destroying phones since it came out, I would like to know if it is possible to keep Android Oreo on your Samsung S9+ if you buy one, considering it comes with Oreo by default."
"331","Have had the TV for a number of weeks - all working fine (primarily using Apple TV box). Added a LG 4K Blu-Ray this weekend and now seeing some strange behaviour."
"332","Hi my gear s3 frontier keeps disconnecting from my Samsung a50 has anyone else had this problem please and if so did you resolve it thanks"
"333","Cannot believe finger sensor wont work with screen protector. So ridiculous!"
"334","My 8 series 65” has started behaving very strange. When I go into the universal remote and set sources for my Sky box, PS4 and Chromecast then changing one of the input selection seems to change the input for all of my inputs."
"335","Just a quick question is the 5G model plus only?"
"336","Does anyone else have any distortion from their lower speaker when playing on full volume? I rarely listen at full however notice that some songs at certain frequencies are distorted. I know it's not from low quality songs etc. as I've tried it with a few songs..."
"337","So I have a Samsung Q6FN55 TV and a N850 soundbar. Recently the audio via ARC has just stopped working, still works fine over WiFi/Bluetooth."
"338","Hello I have some suggestions for Samsung Galaxy A6+ (2018):"
"339","Hello,"
"340","Hi,"
"341","Anyone else unable to get pc passed though there N950?"
"342","Hey,"
"343","Hi, could someone explain this option "" Favorite media app''to me? Explain a scenario in which this option could be used."
"344","Hi anyone know how to save favourite contacts to home screen on note9"
"345","My holiday photos has disappeared from my S10+ gallery. I cant find them anywhere. Does anyone know why this happened and how they can be recovered?"
"346","Hi all,"
"347","Hello,"
"348","Just been doing a video recording and suddenly it stopped recording and went back to the home page. Didn't save the video. Anyone else had this happen and how do I stop it happening again. Thanks"
"349","I only have a simple little suggestion/request. Could you add the option where the phone is smart enough to switch automatically within the ""Data usage"" option , the ""Mobile data"" option - ""Access the internet through your mobile network"", based upon your location when it detects that it's near your home WIFI network? This would save the trouble of always manually switching when I get home and back to using the network carrier service everyday to save on my Data usage per month in my Mobile carrier network. It seems to me if the security works this way to unlock my phone, then can't my Data Usage work that way as well? Thankyou for taking the time to read this."
"350","Has anyones earbuds came yet my claim was validated on the 25th of March but still no sign of my buds as anyone else had this problem."
"351","I love my Samsung gear, my new S10+ is fabulous but I do wish Samsung would be a little clearer regarding free promotions. I believed that I could ckaim the free air buds , but not the case, only if one purchased the 512gb of 1tb version, really! I am as loyal to Samsung as my beautiful dog is to myself, I have had the S3,S6,S7,S9 and now 10+ in addition to my Samsung tablet, my 55"" Qled tv . What more loyalty warrants a free set of wireless earbuds? Stick to your base Samsung and they will take care of you!"
"352","Hi, I recently bought a Samsung Galaxy Ace S5830 from Ebay and it came with android version 2.3.2. I tried every way of updating the firmware with no success as I was unable to install any apps on the phone. I have recently downloaded a update file for android 4.1.1 or something along those lines anyway I applied the update via SD card and now the phone will not boot up. I am struggling to find a suitable SD card update file as this is an old phone, I would be happy just to upate the android version to latest version suitable for this phone (2.3.6 or 2.3.7 seems to be mentioned on other sites). Would really appreciate it if anyone was able to supply an update file for a suitable version of android for this phone that I could copy and install from an SD card as I cannot get my phone to work at all currently. All help appreciated. Kev."
"353","Hello, I recently purchased a samsung Ecobubble washing machine on the strength of the cashback promise which was advertised at the time."
"354","Since a few days my Samsung TV plays commercials before videos although I’m paying for YouTube Premium."
"355","Hi,"
"356","Hi so I've had my Note 9 for a while now and never really had any problems with it till now. It will charge but it's very finicky with what position it will charge with. I've tried different chargers and also I've used air in a can to possibly remove anything stuck inside. It still wont charge unless is a certain position. Please help."
"357","Hello."
"358","I have had my Galaxy Note 8 since around 17 months without any problems, but since last one month or so, the phone has started giving out a mysterious sound - as if you are making a gentle tap with your finger nail onto a hard plastic, or a bit like the crackling sound we used to hear on old radios. Just gives out one tap/crackling sound at a time (not a series of it). It happens about a dozen times in a day."
"359","Hi I have a 55"" Q6FN and I have a little issue with the you tube app."
"360","Is there an authentic way of backing up my Note8 Secure Folder contents onto my laptop (using a USB cable) or external USB drive without having to resort to 3rd party apps/services? As far as I can see, currently the *only* way of doing this is by backing up the Secure Folder onto Google Drive, which I think is unacceptable. I don't trust cloud services, sorry."
"361","Can anyone help with this? Whenever I charge my phone it lasts for less than 24 hours before I have to charge it again. This has been going on for about 2 weeks now. It has always been on 'power saving mode' .I have tried everthing that I can think of to fix the problem but nothing works. I have deleted aps, checked for soft ware updates bought a new battery and even reset my phone back to factory settings without any success. Any suggestions?"
"362","I have a new Samsung Gear - the steps are not being counted accurately. I am still wearing my fitbit to compare and they don't agree by over 2000 steps."
"363","Hi,"
"364","Received the phone yesterday, and have updated the applications and OS to the latest available."
"365","recently have been unable to move pictures from internal memory to sd card. was ok up to a few weeks ago. not sure if last update affected it. but cant move or delete things now."
"366","We've had a favourite song of all time thread, now... let's find out what you're all currently listening to."
"367","Hi,"
"368","I apologize, I dont' know where else to put this than the ""everything else"" section."
"369","I was just wondering, if the Note 9 is so waterproof that you can dunk it under 30M of water for 30 minutes why is there a moisture warning? In addition, unless you exceed those limits water damage shouldn't be a thing, right? Is it waterproof or isn't it? Is it actually safe to use underwater? Or is the fact that you don't want to charge it/plug anything into it while it's wet the only reason it gives a moisture warning?Sorry for asking but getting a moisture warning really threw me off."
"370","Hi all!"
"371",""
"372","Hi everybody. This being my first smart phone, I ineptly poked at what I assume is the S10e's microphone (top right), instead of inserting the tray tool into the SIM/Nano-SD card tray's hole (top left) - got the orientation wrong looking at the manual. Does this mean I might have just destroyed/damaged the mic, or some other part inside the phone?"
"373","I do an high intensity aerobics class called bounce and have just got the active watch and cannot see a good setting to choose for aerobics. I used other workout the other night and the calorie burn was worse than a 30min walk <U+0001F648> I used to do triple that on my Fitbit."
"374","I used to be able to press accent for my spanish keyboard by pressing Alt+E and then the vowel with the accent. However, after I updated my tablet, the function doesn't work anymore. I went to settings to see if I could edit or change but there aren't any options but to turn on and off the keyboard."
"375","Hi all, I've just bought a Samsung 49NU7300 and am wondering if there is a way to connect headphones to it?TIA"
"376","Hi. so i purchased this tv and was trying to play a 2160p x265 HEVC movie from a usb 3 seagate hdd, the movie keeps stuttering (pixelated and sound hangs) every few seconds. it loads fast and i can fast forward without delay, but the playback is awful as i described. the tv is 4k capable and this seems odd. 1080p content is no problem."
"377","I have seen countless videos and articles about changing the colour of your nav bar (especially on demo phones). For some reason I can't do that on my Galaxy S9. If it has been removed, please add it back."
"378","Imagine I purchase a phone instead of a down payment on a car and the phones OS looks no different than my nephew's J7 phone (which I must say might not be water proof but has lived through wars and drops from Heaven to hell). I on the other hand basically just purchased an expensive camera. Not to mention the giant protective case I have to use bc I was duped into believing my phone was incased in some ""durable"" gorilla glass or some ****, I can't remember. but anyway just to find out, that the wind might even scratch your screen when you're not looking is wack! The one time I took my phone out the case to show someone how nice it looked with out the case it slipped out her hand and fell on the commercial carpet and cracked in the corner I was over it..... I want control over if I want my phone icons and appearance to change. You guys deff should run these things by us 1st like upgrades security updates fine but once you start changing ish your outta line. I didnt pay all this money for no cornball EzBreak phone from ya lame design teams from Bedrock! And why purchase a set amount of space and yall adding ya own apps that I cant remove that's bs dnt even hit me with that system app or importance bs neither &..... Bixby? Count Yo Days!! I'm so tired of Bixby I got a magnet with her name on it... you would think by now you ppl would have allowed us to cut ties with her, bc she ain't it...at all. Ya'll tryna force ya ugly cousin on us at the family bbq... every time I hit this button by accident I come up with better use for it! Let it go... lastly why has my s9+ phone volume decreased now that its upgrade time.... something ain't right especially playing through bluetooth it's a lil lower phone a lil slower..... get it together"
"379","Hi"
"380","Can Bixby be used to answer phone by voice, phone model A50, if so how? I have tried with no success."
"381","I have autopause set to on but when cycling the tracking does not pause even when I stop (for examplet at traffic lights). On occasion it will pause but then start again even when I am not moving."
"382","Hello, can anyone advise on whether there is an HDMI adaptor available to connect my Galaxy Tab A6 to either a TV or a projector?"
"383","As you know the S10+ supports both Android Auto and Mirrorlink, same goes for my Car Audio unit (Citroen C3 Aircross stock radio)"
"384","I've literally bought the new s10+ a week ago and wondering how many others are thinking of using the 30 day return policy to upgrade further to the latest model. Obviously we know nothing about price and the 5g isn't on all networks yet but being 5g ready is a plus for sure."
"385","Hi all. :smiling-face-with-sunglasses:"
"386","Hey all,"
"387","There is only one thing left to do with this garbage oled piece of *****. Shoot it with a shot gun, only way I can think to unlock since they are ***** and locked it. I didn't think I was buying apple garbage when I bought this."
"388","(1) Can samsung please explain what the meaning of the screen timeout function is? It does not do what it says. I set the the screen to timeout to 1 minute and the screen just goes off as normal in like 3 secs. So now you must everytime flip your wrist for the screen to go on."
"389","i was trying to charge my gear fit2 pro but i won't charge. It shows a blinking alert sign with a thermometer inside, and when i turn it on it says :""Can't charge gear. Battery needs to warm up"""
"390","I have a UE22H5610AK which has just developed a problem with the sound. I have been using the digital sound PCM outlet. It was perfect. Now it keeps cutting out. I have light coming through as the cable tip glows red. I have replaced the cable and blown air at it in case there is dust around. No joy. I have to fall back to the TV speakers. There too there's a problem as while the volume level numbers change the actual volume doesn't. I'm hoping that there's something simple to reset? Anyone have any advice?"
"391","I have recently updated to a Samsung TV (QE65Q7FNAT) from a UE48JU6400. It appears I am unable to play video files from a USB memory stick on this new TV, however, I WAS able to play the same files on this USB on the previous UE48JU6400 model."
"392","Hi y'all!"
"393","When ever i go full screen on google chrome or any other browser or YouTube app my phone takes me back to the homepage after like 3 seconds in full screen mode , any advice?"
"394","Hi everyone, I have a problem which appears to be a bit similar to this one in the US forums, but worse:"
"395","my Galaxy A20 status bar is very upset. half of some icons is behind of black margin."
"396","My bluetooth connection disconnects automatically after few seconds from my land rover discovery sports 2018. The landrover service mentioned that its the android PIE (OS) issue. Could you please let me know how to resolve this?"
"397","I have a lot to b*tch about."
"398","Hi"
"399","I've been so excited to get my Samsung Active watch for weeks. I cannot say how unbelievably disappointed I am. Fitbit blows it out the water for accuracy. Why have I got rid of something that worked perfectly only to replace it with something that couldnt count a step if it tried! To say I'm furious is an understatement. Fix this Samsung or it's going back!!!@"
"400","I have an old DVD player for a PC - how can I get up to date drivers ?"
"401","S8 with clear view screen. Everything working great until latest update. Now I can't get the clock 'always on' display. Tried switching on/off, checked all the locked screen settings to make sure 'always on' is on."
"402",""
"403","Have they started shipping the one connect boxes over yet from 2.0 to HDMI 2.1 ?"
"404","Hi, when I first received my S10+ Android Auto was working fine in my car then one day it just stopped working. When I plug the USB in the phone charges but Android Auto does not start up in my car. Have tried uninstalling and reinstalling the app, clearing cache etc but no joy. Android Auto works fine in same car with my Wife's S9 so not issue with the car or the cable. Anyone had the same issue? And if so were you able to resolve it? Quite annoying as it was one of the main reasons I bought that particular car."
"405","Hi everyone , I've stopped Google play services from using data in the background but when I take my phone off charge it appears again in the battery usage , it's the only thing that's running until I put my data back on in the morning . If I take my phone off charge at say 1 in the morning the play services appears and puts a slight drain on the battery , question is can you disable play services and will it affect anything"
"406","I have 2 sons one uses an s7 edge for playing Fortnite. The other has a iPhone which wont support it.He is looking at buying an an A5 but will it run Fortnite?Any help please"
"407","I'm having a go a setting up some Bixby Routines on my shiny new Galaxy A70, but I can't work out how to detect Bluetooth disconnections."
"408","Hi forum,"
"409","Hi all,"
